# Simulation Log
# Model: Age-Structured Model
# Timestamp: 2025-10-23 20:11:27
# Parameters: 
#   {
#       "constantRecruitment": 200000.0,
#       "fishingMortality": 0.5,
#       "initialNumbers": [
#           200000.0,
#           100000.0,
#           50000.0,
#           25000.0,
#           10000.0,
#           5000.0
#       ],
#       "lw_a": 0.0041,
#       "lw_b": 3.1818,
#       "maturity_A50": 1.0,
#       "maturity_k": 20.0,
#       "maxAge": 5,
#       "naturalMortality": 1.35,
#       "selectivity_A50": 1.5,
#       "selectivity_k": 10.0,
#       "simulationYears": 50,
#       "vb_Linf": 17.0,
#       "vb_k": 1.39,
#       "vb_t0": -0.1
#   }
# 
Year,TotalBiomass,SpawningStockBiomass,TotalCatch
0,4281743.34556009,3496750.25503394,0.00000000
1,2008907.28290962,1597008.30740410,621049.62194073
2,1398439.32409847,986540.34931757,272808.70150419
3,1293592.54122741,881693.56644650,134201.77033059
4,1276753.19948143,864854.22470053,110320.43022621
5,1274092.39594966,862193.42116876,106484.87039725
6,1273674.01874221,861775.04396130,105878.80922851
7,1273608.23429566,861709.25951475,105783.51388773
8,1273597.89053569,861698.91575479,105768.52991838
9,1273596.26411219,861697.28933128,105766.17388150
10,1273596.00837796,861697.03359706,105765.80342494
11,1273595.96816704,861696.99338614,105765.74517540
12,1273595.96184439,861696.98706349,105765.73601640
13,1273595.96085023,861696.98606933,105765.73457627
14,1273595.96069391,861696.98591301,105765.73434983
15,1273595.96066934,861696.98588843,105765.73431422
16,1273595.96066547,861696.98588457,105765.73430862
17,1273595.96066486,861696.98588396,105765.73430774
18,1273595.96066477,861696.98588386,105765.73430760
19,1273595.96066475,861696.98588385,105765.73430758
20,1273595.96066475,861696.98588385,105765.73430758
21,1273595.96066475,861696.98588385,105765.73430758
22,1273595.96066475,861696.98588385,105765.73430758
23,1273595.96066475,861696.98588385,105765.73430758
24,1273595.96066475,861696.98588385,105765.73430758
25,1273595.96066475,861696.98588385,105765.73430758
26,1273595.96066475,861696.98588385,105765.73430758
27,1273595.96066475,861696.98588385,105765.73430758
28,1273595.96066475,861696.98588385,105765.73430758
29,1273595.96066475,861696.98588385,105765.73430758
30,1273595.96066475,861696.98588385,105765.73430758
31,1273595.96066475,861696.98588385,105765.73430758
32,1273595.96066475,861696.98588385,105765.73430758
33,1273595.96066475,861696.98588385,105765.73430758
34,1273595.96066475,861696.98588385,105765.73430758
35,1273595.96066475,861696.98588385,105765.73430758
36,1273595.96066475,861696.98588385,105765.73430758
37,1273595.96066475,861696.98588385,105765.73430758
38,1273595.96066475,861696.98588385,105765.73430758
39,1273595.96066475,861696.98588385,105765.73430758
40,1273595.96066475,861696.98588385,105765.73430758
41,1273595.96066475,861696.98588385,105765.73430758
42,1273595.96066475,861696.98588385,105765.73430758
43,1273595.96066475,861696.98588385,105765.73430758
44,1273595.96066475,861696.98588385,105765.73430758
45,1273595.96066475,861696.98588385,105765.73430758
46,1273595.96066475,861696.98588385,105765.73430758
47,1273595.96066475,861696.98588385,105765.73430758
48,1273595.96066475,861696.98588385,105765.73430758
49,1273595.96066475,861696.98588385,105765.73430758
50,1273595.96066475,861696.98588385,105765.73430758
# 
# Simulation duration (ms): 21.155500
