# Simulation Log
# Model: Delay Equation Model
# Timestamp: 2025-10-23 20:12:06
# Parameters: 
#   {
#       "catchStockingRate": 0.5,
#       "catchability": 2.0,
#       "fishPrice": 7.0,
#       "fishingCost": 1.0,
#       "initialFishMarketStock": 0.1,
#       "initialFishStock": 0.4,
#       "initialHarvestingEffort": 0.4,
#       "reproductionRate": 1.0,
#       "simulationYears": 20,
#       "stepsPerYear": 100,
#       "stockReturnRate": 2.0
#   }
# 
Time_Year,Population_n,Effort_E,MarketStock_S
0.00000000,0.40000000,0.40000000,0.10000000
0.01000000,0.39920000,0.42120000,0.09960000
0.02000000,0.39823553,0.44270201,0.09928943
0.03000000,0.39710598,0.46451649,0.09906664
0.04000000,0.39581086,0.48665301,0.09892993
0.05000000,0.39434986,0.50912025,0.09887756
0.06000000,0.39272281,0.53192591,0.09890772
0.07000000,0.39092974,0.55507669,0.09901856
0.08000000,0.38897085,0.57857824,0.09920815
0.09000000,0.38684658,0.60243511,0.09947449
0.10000000,0.38455754,0.62665068,0.09981550
0.11000000,0.38210461,0.65122717,0.10022902
0.12000000,0.37948887,0.67616555,0.10071281
0.13000000,0.37671170,0.70146549,0.10126452
0.14000000,0.37377469,0.72712539,0.10188174
0.15000000,0.37067974,0.75314225,0.10256191
0.16000000,0.36742901,0.77951172,0.10330242
0.17000000,0.36402496,0.80622801,0.10410052
0.18000000,0.36047033,0.83328390,0.10495338
0.19000000,0.35676816,0.86067072,0.10585806
0.20000000,0.35292181,0.88837834,0.10681150
0.21000000,0.34893492,0.91639513,0.10781055
0.22000000,0.34481147,0.94470801,0.10885196
0.23000000,0.34055571,0.97330244,0.10993238
0.24000000,0.33617222,1.00216241,0.11104837
0.25000000,0.33166584,1.03127049,0.11219639
0.26000000,0.32704173,1.06060789,0.11337284
0.27000000,0.32230532,1.09015442,0.11457401
0.28000000,0.31746232,1.11988862,0.11579616
0.29000000,0.31251867,1.14978776,0.11703546
0.30000000,0.30748057,1.17982796,0.11828805
0.31000000,0.30235445,1.20998420,0.11955003
0.32000000,0.29714693,1.24023045,0.12081747
0.33000000,0.29186483,1.27053974,0.12208643
0.34000000,0.28651511,1.30088425,0.12335296
0.35000000,0.28110489,1.33123543,0.12461313
0.36000000,0.27564140,1.36156409,0.12586304
0.37000000,0.27013197,1.39184052,0.12709881
0.38000000,0.26458396,1.42203459,0.12831664
0.39000000,0.25900480,1.45211590,0.12951278
0.40000000,0.25340192,1.48205388,0.13068358
0.41000000,0.24778270,1.51181791,0.13182546
0.42000000,0.24215452,1.54137746,0.13293497
0.43000000,0.23652465,1.57070219,0.13400879
0.44000000,0.23090026,1.59976208,0.13504371
0.45000000,0.22528840,1.62852756,0.13603669
0.46000000,0.21969597,1.65696961,0.13698484
0.47000000,0.21412968,1.68505986,0.13788544
0.48000000,0.20859603,1.71277071,0.13873594
0.49000000,0.20310133,1.74007544,0.13953400
0.50000000,0.19765160,1.76694826,0.14027743
0.51000000,0.19225266,1.79336443,0.14096428
0.52000000,0.18690999,1.81930032,0.14159279
0.53000000,0.18162883,1.84473348,0.14216139
0.54000000,0.17641409,1.86964272,0.14266873
0.55000000,0.17127039,1.89400811,0.14311367
0.56000000,0.16620200,1.91781106,0.14349527
0.57000000,0.16121291,1.94103437,0.14381280
0.58000000,0.15630675,1.96366221,0.14406575
